Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
FAM127B,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
MANBAL,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
LOXL4,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PARD3B,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
LMAN2L,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
CBY1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ATRAID,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
TRMT61A,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
TRIP6,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
LZTS2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
DDAH2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
BCL7C,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
RAI1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
SCAMP4,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ADCK4,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
TPRA1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ZNF282,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
TNRC18,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PLEKHG3,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PLXNB2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ZNF205,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
TMEM115,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
BCAM,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
WBSCR27,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PIK3R1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
MAOB,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
AR,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
TMEM120B,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
SFRP1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
