Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
SH2D6,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SH2D7,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PHLPP2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C9orf40,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PAX4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MRRF,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
IMPA1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CMAS,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PIP5K1B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C5orf63,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FAM118B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DNAJC24,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TANGO6,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
HMOX2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DESI1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GREB1L,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ZBTB20,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TDRD9,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TEX2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DNAJC28,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SENP8,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
VPS37A,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ENOX1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
KATNAL1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
UBE2Q2L,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ZNF559-ZNF177,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PTGDS,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
LCNL1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ASB1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
HSF2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
RNMTL1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CEP63,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PSMF1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FAF1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
KPNA6,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
UBAP2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PDCD2L,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
RPUSD3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DNAJC4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
WDTC1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
HIRIP3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GPANK1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
HK1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
NF2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TIMM50,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GTPBP8,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TIMM23B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TIMM23,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
COPS5,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
COX10,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CINP,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
IAH1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MRPL39,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TRIM69,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
STAT4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SLCO3A1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
WDR37,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MARCH3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
VPS8,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DYNC1LI1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
UTS2R,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FOXD3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
EVX2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PRRX2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PHLDB3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
EIF2B4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ESPN,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GAS2L1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FBXL19,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MOSPD3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
EXOC3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TBC1D3F,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TBC1D3B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TBC1D3C,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TBC1D3H,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TBC1D3G,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ATP6AP1L,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GPC2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DCST2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GOLGA6L10,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MAPKBP1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
STRC,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C19orf57,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SLC16A1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C15orf38-AP3S2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MTCH2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
COX7A2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TXNL4A,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
LSM4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
EIF5AL1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PSMA6,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PTRHD1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MRPL51,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
WDR12,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PSMD11,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
EIF2S1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
BSG,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ATPIF1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DNAJA4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FAM134B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CPT1B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CTNNA3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MPC2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CMC2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
UBB,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PCGF5,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
OBFC1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
NAA20,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MRPS22,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PSMB7,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MRPL47,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MRPL22,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C7orf73,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
UNG,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
UCHL3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
RCHY1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TMEM38B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ADAL,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FAM210A,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
OPA3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DNAJC15,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ACOT8,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SAP18,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PMPCA,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
KIAA1919,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GRAMD1C,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PAQR7,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TRPC7,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
HACL1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MON1A,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FLVCR2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
EPB41L3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ATP7B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
XKR9,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PFKFB4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SSUH2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TIGD3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
THAP2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PCNX,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PLEKHA3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PTPDC1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
IGSF1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PRPH,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CREM,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ADORA3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C12orf60,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FAM163A,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TBC1D14,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
WNT8B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
INSRR,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TMEM81,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PEX5,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ZHX3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MVK,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
