Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
SH3BP5L,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
LYL1,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
GAS2L1,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ENSP00000478933.2,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SYT15,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
GALNT7,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
COX4I2,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
COX4I1,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
TRIB3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
FAM83D,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
RAB42,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SMCO4,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SVIP,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CD3D,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
DCLK3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
BST1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
RETNLB,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
LY6D,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
PATE1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
FAAP20,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
LYNX1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
PGLYRP3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
PGLYRP4,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
TSPAN10,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CUZD1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
OPN3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
FPR2,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
FPR1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
FPR3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
RNF152,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MS4A4A,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MS4A4E,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MS4A6A,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MS4A6E,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
AIM2,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFI16,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MNDA,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
PYHIN1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MRGPRE,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
C1orf127,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CRB3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
FXYD5,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SELPLG,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
TNFRSF14,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CD38,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SIGLEC7,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SIGLEC8,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SIGLEC12,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SIGLEC9,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
C9orf131,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
PRM3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
GP6,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
PLA2G2C,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR3DS1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ENSP00000479531.1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR3DP1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR2DP1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR3DL1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ENSP00000477528.1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR3DL3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR3DL2,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ENSP00000482483.1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR2DS1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR2DL2,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR2DL3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR2DS3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR2DS2,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR2DS5,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR2DL4,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR2DL5A,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KIR2DL5B,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
LILRB4,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
LILRA3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
LILRA5,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
LSM10,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
FGA,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
KRTAP26-1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ASGR1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ASGR2,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CTXN1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
COA3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
FBRS,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNW1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA16,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA5,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA6,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA13,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA8,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA2,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA7,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA4,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA10,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA17,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA14,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFNA21,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
