Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
DUOXA1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TMPRSS13,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
HOPX,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
MYOF,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
FZD6,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
SLC35F6,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
DOCK9,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
SASH1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
FRMD4A,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
ZNF385A,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
NXPH4,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TFAP2A,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TFAP2C,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
GATA3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
DLX3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
DUSP14,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
DLG5,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
GJA1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
ZNF219,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
