Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
SYAP1,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
LPGAT1,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
TMEM41B,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
STARD4,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
SEPP1,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
DPYD,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
APOL2,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
APOL1,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
RHOU,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
GCLC,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
