Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
JAM3,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
SMOC2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
GADD45B,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ADM,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
TMEM176B,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CLRN3,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ARMC12,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
C3orf33,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CLCF1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
C7orf31,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
DKK3,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
FCMR,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
LITAF,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
FAM189A2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
LAYN,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
TFF2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
MPZL2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
NRSN1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ROBO4,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
GLTPD2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
BPIFB6,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
FRMPD1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
FAM131A,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
WIPF2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ZNF503,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ZNF703,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
TIMP3,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
MFAP2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
LRRC14,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
SEMA7A,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
C2orf54,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
MISP,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
C19orf45,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
THEG,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
USHBP1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
FGF8,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
NCCRP1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
C15orf52,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
TEPP,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CARD19,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
POU2AF1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
EPOR,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
PPP1R26,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
