Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
HIPK3,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
KLF9,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
KLF15,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
PLIN5,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
GPT2,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
BNIP3,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
GALNT2,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
ERRFI1,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
SLC25A25,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
ZBTB16,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
FKBP5,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
PDK4,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
FOXO3,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
GLUL,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
