,Peng2014.Upregulated,Peng2014.Downregulated,Slabicki.2010.RNAi,Adamson.2012.RNAi,RAD51.foci.impaired,RAD51.foci.retained,Matsukoa.2007.phosphoproteomics,Elia_2015_Acetylation.IR,Elia_2015_Ub.IR,Elia_2015_Ub_MG132.IR,Elia_phos.IR,Elia_Ub_nuclear.IR,Paulsen.2009.gamma.HA2X.increased,Paulsen.2009.gamma.HA2X.decreased,Lord.2008.PARP.inhibitor.sensitivity,Bartz.2006.cisplatin.EC50.mean.fold.change,NPP.clade.optimized.MRS,HPA.tissue.coexpression.MRS,MRE11A.CCI.Malovannaya.2011,BRCA2.CCI.Malovannaya.2011,RAD51C.CCI.Malovannaya.2011,BRCA1.CCI.Malovannaya.2011,LIG1.CCI.Malovannaya.2011,PCNA.CCI.Malovannaya.2011,FANCD2.CCI.Malovannaya.2011,FANCI.CCI.Malovannaya.2011,PALB2.CCI.Malovannaya.2011,RAD50.CCI.Malovannaya.2011
GPER1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009478673,0.004482524,0,0,0,0,0,0,0,0,0,0
GPHA2,0,0,0,0,0,1217,0,0,0,0,0,0,0,0.008966927,0,0,0.009708738,0.005047319,0,0,0,0,0,0,0,0,0,0
GPHB5,0,0,0,0,0,2043,0,0,0,0,0,0,0,0,0,0,0.007580979,0,0,0,0,0,0,0,0,0,0,0
GPHN,0,0,0,0,0,3172,0,0,9.215097588,4.882786622,0,0,0,0.401030445,0,0,0.016348774,0.004482524,0,0,0,0,0,0,0,0,0,0
GPI,0,0,0,0,0,3305,0,8.852764247,9.413804067,4.696649774,0,8.347034247,0,0.413093937,0,0,0.047058824,0.006972112,0,0,0,0,0,0,0,0,0,0
GPIHBP1,0,0,0,0,0,2565,0,0,0,0,0,0,0,0,0,0,0.008576329,0.004482524,0,0,0,0,0,0,0,0,0,0
GPKOW,0,0,0,0,0,9008,0,8.852764247,0,0,0,8.347034247,1.710080802,0,0,0,0.051546392,0.00921659,0,0,0,0,0,0,0,0,0,0
GPLD1,0,0,0,0,3532,0,0,0,0,0,0,0,0,0.407062191,0,0,0.083333333,0.004482524,0,0,0,0,0,0,0,0,0,0
GPM6A,0,0,0,0,0,6113,0,0,0,0,0,0,0,0.111506616,0,0,0.007441091,0.004482524,0,0,0,0,0,0,0,0,0,0
GPM6B,0,0,0,0,0,4991,0,0,0,0,0,0,0,0.618173316,0,0,0.007441091,0.004482524,0,0,0,0,0,0,0,0,0,0
GPN1,0,0,0,0,0,2288,0,0,0,0,0,0,0,0,0,0,0.018518519,0.004482524,0,0,0,0,0,0,0,0,0,0
GPN2,0,0,0,0,6408,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0.007559395,0,0,0,0,0,0,0,0,0,0
GPN3,0,0,0,0,0,3756,0,0,9.073177032,4.487308383,0,8.347034247,0,0,0,0,0.012561061,0.010963525,0,0,0,0,0,0,0,0,0,0
GPNMB,0,0,0,0,0,208,0,0,0,0,0,0,0,0.322617741,0,0,0.014084507,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR1,0,0,0,0,1209,0,0,0,0,0,0,0,0.732937882,0,0,0,0.010526316,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR101,0,0,0,0,0,1743,0,0,0,0,0,0,1.993572884,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
GPR107,0,0,0,0,0,3918,0,0,9.213567999,4.592346274,0,8.347034247,0,0.437220923,0,0,0.016806723,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR108,0,0,0,0,6492,0,0,0,9.148433814,4.678360875,0,8.31860285,0.509763265,0,0,0,0.014705882,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR119,0,0,0,0,0,6993,0,0,0,0,0,0,0,0.322617741,0,0,0.075,0.00591716,0,0,0,0,0,0,0,0,0,0
GPR12,0,0,0,0,7382,0,0,0,0,0,0,0,0.630398193,0,0,0,0.005890438,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR132,0,0,0,0,8205,0,0,0,0,0,0,0,1.058652189,0,0,0,0.013157895,0.015205725,0,0,0,0,0,0,0,0,0,0
GPR135,0,0,0,0,0,1659,0,0,0,0,0,0,0,0.455316162,0,0,0.009672219,0.010963525,0,0,0,0,0,0,0,0,0,0
GPR137,0,0,0,0,4865,0,0,0,0,0,0,0,0,0,0,0,0.014084507,0.010963525,0,0,0,0,0,0,0,0,0,0
GPR137B,0,0,0,0,0,8994,0,0,0,0,0,0,0,0,0,0,0.014084507,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR137C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014084507,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR139,0,0,0,0,0,2061,0,0,0,0,0,0,0,0.27436377,0,0,0.035087719,0,0,0,0,0,0,0,0,0,0,0
GPR141,0,0,0,0,0,3252,0,0,0,0,0,0,0,0.238173291,0,0,0.009345794,0.007559395,0,0,0,0,0,0,0,0,0,0
GPR142,0,0,0,0,7863,0,0,0,0,0,0,0,0,0.455316162,0,0,0.007964602,0.00591716,0,0,0,0,0,0,0,0,0,0
GPR143,0,0,0,0,0,1515,0,0,0,0,0,0,0,0.220078052,0,0,0.006967586,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR146,0,0,0,0,5955,0,0,0,0,0,0,0,0,0.268332023,0,0,0.008298755,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR148,0,0,0,0,4695,0,0,0,0,0,0,0,0,0.256268531,0,0,0.078125,0.00591716,0,0,0,0,0,0,0,0,0,0
GPR149,0,0,0,0,0,6434,0,0,0,0,0,0,0,0.600078076,0,0,0.014084507,0,0,0,0,0,0,0,0,0,0,0
GPR15,0,0,0,0,6607,0,0,0,0,0,0,0,0.479604533,0,0,0,0.009009009,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR150,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153728841,0,0,0.009672219,0.005047319,0,0,0,0,0,0,0,0,0,0
GPR151,0,0,0,0,0,6982,0,0,0,0,0,0,0,0.551824105,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0
GPR152,0,0,0,0,6317,0,0,0,0,0,0,0,0.250398169,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
GPR153,0,0,0,0,7621,0,0,0,0,0,0,0,0,0.195951066,0,0,0.009070295,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR155,0,0,0,0,4903,0,0,0,0,0,0,0,0,0.123570109,0,0,0.007199177,0.00591716,0,0,0,0,0,0,0,0,0,0
GPR156,0,0,0,0,5522,0,0,0,0,0,0,0,0.069445776,0,0,0,0.045454545,0.010963525,0,0,0,0,0,0,0,0,0,0
GPR157,0,0,0,0,893,0,0,0,0,0,0,8.194421322,0,0.087379631,0,0,0.043478261,0.00921659,0,0,0,0,0,0,0,0,0,0
GPR158,0,0,0,1,8235,0,0,0,0,0,0,0,0.678652164,0,0,0,0.045454545,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR160,0,0,0,0,0,3842,0,0,0,0,0,0,0.437382308,0,0,0,0.272727273,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR161,0,0,0,0,7717,0,0,0,0,0,0,0,1.185318864,0,0,0,0.007441091,0.007633588,0,0,0,0,0,0,0,0,0,0
GPR162,0,0,0,2,487,0,0,0,0,0,0,0,0,0,0,0,0.009070295,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR17,0,0,0,0,0,7305,0,0,0,0,0,0,0.027223551,0,0,0,0.006967586,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR171,0,0,0,0,0,1876,0,0,0,0,0,0,0,0,0,0,0.032258065,0.042402827,0,0,0,0,0,0,0,0,0,0
GPR173,0,0,0,0,1590,0,0,0,0,0,0,0,0,0,0,0,0.007177033,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR174,0,0,0,0,7003,0,0,0,0,0,0,0,0,0,0,0,0.1,0.014659018,0,0,0,0,0,0,0,0,0,0
GPR176,0,0,0,0,0,6945,0,0,0,0,0,0,0,0,0,0,0.008298755,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR179,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0
GPR18,0,0,0,0,0,2506,0,0,0,0,0,0,0,0.051189152,0,0,0.008298755,0.042402827,0,0,0,0,0,0,0,0,0,0
GPR180,0,0,0,0,0,3921,0,8.566344599,0,0,0,0,0,0,0,0,0.010362694,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR182,0,0,0,0,3876,0,0,0,0,0,0,0,0,0,0,0,0.012145749,0.005047319,0,0,0,0,0,0,0,0,0,0
GPR183,0,0,0,0,0,6960,0,0,0,0,0,0,0,0,0,0,0.011904762,0.015205725,0,0,0,0,0,0,0,0,0,0
GPR19,0,0,0,0,7659,0,0,0,0,0,0,0,0.666588672,0,0,0,0.006967586,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR20,0,0,0,0,0,4173,0,0,0,0,0,0,0.190080704,0,0,0,0.013539652,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR21,0,0,0,0,8341,0,0,0,0,0,0,0,2.198652262,0,0,0,0.007580979,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR22,0,0,0,0,0,6726,0,0,0,0,0,0,0.642461686,0,0,0,0.009009009,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057220899,0,0,0.009672219,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR26,0,0,0,0,0,6816,0,0,0,0,0,0,0.093572762,0,0,0,0.007580979,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR27,0,0,0,0,0,0,0,0,0,0,0,0,0.003096565,0,0,0,0.011070111,0.007559395,0,0,0,0,0,0,0,0,0,0
GPR3,0,0,0,0,7610,0,0,0,0,0,0,0,0.027223551,0,0,0,0.005890438,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR31,0,0,0,0,0,2523,0,0,0,0,0,0,0,0.165792334,0,0,0.011070111,0.015205725,0,0,0,0,0,0,0,0,0,0
GPR32,0,0,0,0,7317,0,0,0,0,0,0,0,1.414525228,0,0,0,0.01,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0
GPR34,0,0,0,0,0,3861,0,0,0,0,0,0,1.131033146,0,0,0,0.040816327,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR35,0,0,0,3,8509,0,0,0,0,0,0,0,0.04531879,0,0,0,0.006711409,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR37,0,0,0,0,0,4835,0,0,0,0,0,0,0,0.087379631,0,0,0.009922822,0.010963525,0,0,0,0,0,0,0,0,0,0
GPR37L1,0,0,0,0,689,0,0,0,0,0,0,0,0.564048982,0,0,0,0.009922822,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR39,0,0,0,0,5642,0,0,0,0,0,0,0,0,0.153728841,0,0,0.005890438,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR4,0,0,0,0,645,0,0,0,0,0,0,0,0,0.159760588,0,0,0.02027027,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR42,0,0,0,0,0,6011,0,0,0,0,0,0,0.009128312,0,0,0,0.013157895,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR45,0,0,0,0,1062,0,0,0,0,0,0,0,0.099604508,0,0,0,0.007177033,0,0,0,0,0,0,0,0,0,0,0
GPR50,0,0,0,0,2343,0,0,0,0,0,0,0,0,0.226109798,0,0,0.006944444,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR52,0,0,0,0,8754,0,0,0,0,0,0,0,0.696747404,0,0,0,0.007580979,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR55,0,0,0,0,0,5779,0,0,0,0,0,0,0,0.195951066,0,0,0.028169014,0.016451234,0,0,0,0,0,0,0,0,0,0
GPR6,0,0,0,0,7904,0,0,0,0,0,0,0,0.334842619,0,0,0,0.006157113,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR61,0,0,0,0,1656,0,0,0,0,0,0,0,0.642461686,0,0,0,0.017094017,0.010963525,0,0,0,0,0,0,0,0,0,0
GPR62,0,0,0,0,0,2769,0,0,0,0,0,0,1.565318888,0,0,0,0.01039501,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR63,0,0,0,0,0,939,0,0,0,0,0,0,0,0.177855827,0,0,0.007177033,0.010963525,0,0,0,0,0,0,0,0,0,0
GPR65,0,0,0,0,1291,0,0,0,0,0,0,0,0.479604533,0,0,0,0.012145749,0.015205725,0,0,0,0,0,0,0,0,0,0
GPR68,0,0,0,0,2042,0,0,0,0,0,0,0,4.888811165,0,0,0,0.010526316,0.016129032,0,0,0,0,0,0,0,0,0,0
GPR75,0,0,0,0,6661,0,0,0,0,0,0,0,0.220239437,0,0,0,0.011363636,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR75-ASB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037593985,0,0,0,0,0,0,0,0,0,0,0
GPR78,0,0,0,0,0,2575,0,0,0,0,0,0,0.377064843,0,0,0,0.007580979,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR82,0,0,0,0,0,5917,0,0,0,0,0,0,1.082779175,0,0,0,0.009779951,0.037249284,0,0,0,0,0,0,0,0,0,0
GPR83,0,0,0,0,0,1494,0,0,0,0,0,0,1.480874438,0,0,0,0.006967586,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR84,0,0,0,1,4338,0,0,0,0,0,0,0,2.663096736,0,0,0,0.021052632,0.012658228,0,0,0,0,0,0,0,0,0,0
GPR85,0,0,0,0,0,8200,0,0,0,0,0,0,0.968175993,0,0,0,0.007177033,0.010963525,0,0,0,0,0,0,0,0,0,0
GPR87,0,0,0,0,364,0,0,0,0,0,0,0,0.648493432,0,0,0,0.017094017,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR88,0,0,0,0,0,8096,0,0,0,0,0,0,0.823414078,0,0,0,0.018518519,0.005047319,0,0,0,0,0,0,0,0,0,0
GPR89A,0,0,0,0,0,0,0,0,9.261159454,4.746576622,0,8.85119384,0,0,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GPR89B,0,0,0,0,0,5509,0,0,9.261159454,4.746576622,0,8.85119384,0,0,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GPRASP1,0,0,0,0,0,8136,0,0,0,0,0,0,0,0,0,0,0.017751479,0.004482524,0,0,0,0,0,0,0,0,0,0
GPRASP2,0,0,0,0,2028,0,0,0,0,0,0,0,0,0,0,0,0.017751479,0.004482524,0,0,0,0,0,0,0,0,0,0
GPRC5A,0,0,0,0,2399,0,0,8.852764247,8.736656206,4.183070955,6.454402003,9.447642083,0,0,0,0,0.014084507,0.004482524,0,0,0,0,0,0,0,0,0,0
GPRC5B,0,0,0,0,4339,0,0,0,0,0,0,0,1.661826831,0,0,0,0.009922822,0.004482524,0,0,0,0,0,0,0,0,0,0
GPRC5C,0,0,0,1,4922,0,2,0,9.084007182,4.416164157,0,7.728018872,0.883731543,0,0,0,0.013157895,0.00921659,0,0,0,0,0,0,0,0,0,0
GPRC5D,0,0,0,0,6125,0,0,0,0,0,0,0,0.55198549,0,0,0,0.013550136,0.004482524,0,0,0,0,0,0,0,0,0,0
GPRC6A,0,0,0,0,0,7386,0,0,0,0,0,0,0.171985465,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0
GPRIN1,0,0,0,0,0,4507,0,0,0,0,0,0,0,0,0,0,0.015822785,0.004482524,0,0,0,0,0,0,0,0,0,0
GPRIN2,0,0,0,0,0,8603,0,0,0,0,0,0,0,0,0,0,0.006711409,0.004482524,0,0,0,0,0,0,0,0,0,0
GPRIN3,0,0,0,0,5207,0,0,0,0,0,0,0,0,0,0,0,0.017751479,0.011363636,0,0,0,0,0,0,0,0,0,0
GPS1,0,0,0,1,8601,0,3,8.852764247,9.048578534,4.530765859,0,8.458279175,0.292620394,0,0,0,0.012561061,0.010963525,0,0,0,0,0,0,0,0,0,0
GPS2,0,0,0,0,0,6251,0,0,0,0,0,0,0,0.292459009,0,0,0.032258065,0.010963525,0,0,0,0,0,0,0,0,0,0
GPSM1,5.576670286,0,0,0,7504,0,0,0,0,0,0,0,0,0.214046306,0,0,0.010928962,0.010963525,0,0,0,0,0,0,0,0,0,0
GPSM2,0,0,0,0,2816,0,0,0,0,0,0,0,0,0.292459009,0,0,0.010928962,0.011764706,0,0,0,0,0,0,0,0,0,0
GPSM3,0,0,0,0,0,3295,0,0,0,0,0,0,0,0.298490755,0,0,0.005588905,0.014659018,0,0,0,0,0,0,0,0,0,0
GPT,0,0,0,0,5163,0,0,0,0,0,0,0,0,0.226109798,0,0,0.016806723,0.004482524,0,0,0,0,0,0,0,0,0,0
GPT2,0,0,0,0,0,6629,0,0,0,0,0,0,0.38309659,0,0,0,0.016806723,0.00921659,0,0,0,0,0,0,0,0,0,0
GPX1,0,0,0,0,4590,0,0,0,0,0,0,0,0,0.388966952,0,0,0.01754386,0.015873016,0,0,0,0,0,0,0,0,0,0
GPX2,0,0,0,0,0,1850,0,0,0,0,0,0,0,0.59404633,0,0,0.01754386,0.004482524,0,0,0,0,0,0,0,0,0,0
GPX3,0,0,0,0,8542,0,0,0,0,0,0,0,0,0.051189152,0,0,0.01754386,0.004482524,0,0,0,0,0,0,0,0,0,0
GPX4,0,0,0,0,0,3432,0,0,9.388782793,0,0,0,0,0.02103042,0,0,0.01754386,0.004482524,0,0,0,0,0,0,0,0,0,0
GPX5,0,0,0,1,0,8567,0,0,0,0,0,0,0,0.334681234,0,0,0.010204082,0.010963525,0,0,0,0,0,0,0,0,0,0
GPX6,0,0,0,0,0,8985,0,0,0,0,0,0,0,0.503570134,0,0,0.005777961,0.016451234,0,0,0,0,0,0,0,0,0,0
GPX7,0,0,0,0,4693,0,0,0,0,0,0,0,0,0.075316138,0,0,0.01754386,0.004482524,0,0,0,0,0,0,0,0,0,0
GPX8,0,0,0,0,3170,0,0,8.852764247,9.126966062,4.494299067,0,8.594631963,0,0,0,0,0.01754386,0.004482524,0,0,0,0,0,0,0,0,0,0
GRAMD1A,0,0,0,0,0,1255,0,0,0,0,0,8.805721131,0,0,0,0,0.024390244,0.015205725,0,0,0,0,0,0,0,0,0,0
GRAMD1B,0,0,0,0,0,1760,0,0,0,0,0,0,0,0,0,0,0.024390244,0.004482524,0,0,0,0,0,0,0,0,0,0
GRAMD1C,0,0,0,0,2401,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0.004482524,0,0,0,0,0,0,0,0,0,0
GRAMD2,0,0,0,0,0,1705,0,0,0,0,0,0,0,0,0,0,0.024390244,0.004482524,0,0,0,0,0,0,0,0,0,0
GRAMD3,0,0,0,0,6608,0,0,0,9.215097588,0,0,8.347034247,0,0,0,0,0.333333333,0.004482524,0,0,0,0,0,0,0,0,0,0
GRAMD4,0,0,0,0,5386,0,0,0,0,0,0,8.347034247,0,0,0,0,0.038961039,0.004482524,0,0,0,0,0,0,0,0,0,0
GRAP,0,0,0,0,0,7811,0,0,0,0,0,0,0,0.10547487,0,0,0.007625272,0.014659018,0,0,0,0,0,0,0,0,0,0
GRAP2,0,0,0,0,0,7183,0,0,0,0,0,0,0,0.539760612,0,0,0.010050251,0.014659018,0,0,0,0,0,0,0,0,0,0
GRAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010050251,0.014659018,0,0,0,0,0,0,0,0,0,0
GRASP,0,0,0,0,0,4078,0,0,0,0,0,0,0.859604557,0,0,0,0.009345794,0.012658228,0,0,0,0,0,0,0,0,0,0
GRB10,0,0,0,0,0,2271,0,0,0,0,0,8.347034247,0,0.515633627,0,0,0.024390244,0.005047319,0,0,0,0,0,0,0,0,0,0
GRB14,0,0,0,0,0,3269,0,0,0,0,0,0,0,0.606109823,0,0,0.024390244,0.004482524,0,0,0,0,0,0,0,0,0,0
GRB2,0,0,0,0,5994,0,0,0,9.021217041,0,0,8.200400499,0,0.262300277,0,0,0.007625272,0.042402827,0,0,0,0,0,0,0,0,0,0
GRB7,0,0,0,0,0,1328,0,0,0,0,0,0,0,0.485474894,0,0,0.024390244,0.008403361,0,0,0,0,0,0,0,0,0,0
GREB1,0,0,0,0,0,8968,0,0,0,0,0,0,0,0.346744727,0,0,0.007964602,0.004482524,0,0,0,0,0,0,0,0,0,0
GREB1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01010101,0.010963525,0,0,0,0,0,0,0,0,0,0
GREM1,0,0,0,0,0,5716,0,0,0,0,0,0,0,0.497538387,0,0,0.011363636,0.004482524,0,0,0,0,0,0,0,0,0,0
GREM2,0,0,0,0,5227,0,0,0,0,0,0,0,0,0,0,0,0.011363636,0.004482524,0,0,0,0,0,0,0,0,0,0
GRHL1,0,0,0,0,4544,0,0,0,0,0,0,0,0,0,0,0,0.007441091,0.004482524,0,0,0,0,0,0,0,0,0,0
GRHL2,0,0,0,0,0,6852,0,0,0,0,0,0,0,0,0,0,0.007441091,0.004482524,0,0,0,0,0,0,0,0,0,0
GRHL3,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0.004482524,0,0,0,0,0,0,0,0,0,0
GRHPR,0,0,0,0,7949,0,0,0,9.215097588,4.801115388,0,8.347034247,0,0.370871713,0,0,0.009025271,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIA1,0,0,0,0,0,3975,0,0,0,0,0,0,0,0.557855852,0,0,0.013157895,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIA2,0,0,0,0,0,6872,0,0,0,0,0,0,0,0.59404633,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIA3,0,0,0,0,7137,0,0,0,0,0,0,0,0,0.563887598,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIA4,0,0,0,0,0,6484,0,0,0,0,0,0,0,0.244205038,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRID1,0,0,0,0,0,8623,0,0,0,0,0,0,0,0.129601856,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRID2,0,0,0,0,0,1947,0,0,0,0,0,0,0,0.413093937,0,0,0.010928962,0.010963525,0,0,0,0,0,0,0,0,0,0
GRID2IP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021108179,0,0,0,0,0,0,0,0,0,0,0
GRIFIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0
GRIK1,0,0,0,0,0,2010,0,0,0,0,0,0,0,0.220078052,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIK2,0,0,0,0,0,7550,0,0,0,0,0,0,0,0.515633627,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIK3,0,0,0,0,4485,0,0,0,0,0,0,0,0,0.461347909,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIK4,0,0,0,0,681,0,0,0,0,0,0,0,0,0.618173316,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIK5,0,0,0,0,0,1225,0,0,0,0,0,0,0,0.630236809,0,0,0.010928962,0.010963525,0,0,0,0,0,0,0,0,0,0
GRIN1,0,0,0,0,4085,0,0,0,0,0,0,0,0,0.171824081,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIN2A,0,0,0,0,0,820,0,0,0,0,0,0,0,0.063252645,0,0,0.021052632,0.010963525,0,0,0,0,0,0,0,0,0,0
GRIN2B,0,0,0,0,3631,0,0,0,0,0,0,0,0,0.449284416,0,0,0.021052632,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIN2C,0,0,0,0,4434,0,0,0,0,0,0,0,0,0.002935181,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIN2D,0,0,0,0,1783,0,0,0,8.925761258,4.842710729,0,9.359766359,0,0.256268531,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIN3A,0,0,0,0,0,5835,0,0,0,0,0,0,0,0.618173316,0,0,0.018518519,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIN3B,0,0,0,0,0,8630,0,0,0,0,0,0,0.226271183,0,0,0,0.010928962,0.005047319,0,0,0,0,0,0,0,0,0,0
GRINA,0,0,0,0,0,2072,0,0,0,0,0,0,0,0.413093937,0,0,0.010791367,0.004482524,0,0,0,0,0,0,0,0,0,0
GRIP1,0,0,0,0,0,1206,0,0,0,0,0,0,0,0.171824081,0,0,0.006157113,0.028571429,0,0,0,0,3.98,0,0,0,0,0
GRIP2,0,0,0,0,8833,0,0,0,0,0,0,0,4.406271451,0,0,0,0.010050251,0,0,0,0,0,0,0,0,0,0,0
GRIPAP1,0,0,0,0,5675,0,0,0,0,0,0,0,0,0.165792334,0,0,0.009345794,0.004482524,0,0,0,0,0,0,0,0,0,0
GRK1,0,0,0,0,1087,0,0,0,0,0,0,0,0,0.437220923,0,0,0.012589928,0.004482524,0,0,0,0,0,0,0,0,0,0
GRK4,0,0,0,0,6469,0,0,0,0,0,0,0,0.105636255,0,0,0,0.012589928,0.010963525,0,0,0,0,0,0,0,0,0,0
GRK5,0,0,0,0,4754,0,0,0,9.062393029,4.842710729,0,8.34548058,0,0.551824105,0,0,0.012589928,0.004482524,0,0,0,0,0,0,0,0,0,0
GRK6,0,0,0,0,7716,0,0,0,0,0,6.942537121,8.357827546,1.118969653,0,0,0,0.012589928,0.015205725,0,0,0,0,0,0,0,0,0,0
GRK7,0,0,0,0,7332,0,0,0,0,0,0,0,1.028493457,0,0,0,0.01344086,0,0,0,0,0,0,0,0,0,0,0
GRM1,0,0,0,0,3842,0,0,0,0,0,0,0,1.408493481,0,0,0,0.045454545,0.004482524,0,0,0,0,0,0,0,0,0,0
GRM2,0,0,0,0,4893,0,0,0,0,0,0,0,0.310715633,0,0,0,0.045454545,0.010963525,0,0,0,0,0,0,0,0,0,0
GRM3,0,0,0,0,0,6439,0,0,0,0,0,0,0.612302954,0,0,0,0.045454545,0.004482524,0,0,0,0,0,0,0,0,0,0
GRM4,0,0,0,0,0,3347,0,0,0,0,0,0,0.21420769,0,0,0,0.045454545,0.010963525,0,0,0,0,0,0,0,0,0,0
GRM5,0,0,0,0,8197,0,0,0,0,0,0,0,0.600239461,0,0,0,0.045454545,0.004482524,0,0,0,0,0,0,0,0,0,0
GRM6,0,0,0,0,2847,0,0,0,0,0,0,0,0.950080753,0,0,0,0.045454545,0.010963525,0,0,0,0,0,0,0,0,0,0
GRM7,0,0,0,0,21,0,0,0,0,0,0,0,0,0.195951066,0,0,0.045454545,0.004482524,0,0,0,0,0,0,0,0,0,0
GRM8,0,0,0,0,0,6297,0,0,0,0,0,0,0.407223576,0,0,0,0.045454545,0.010963525,0,0,0,0,0,0,0,0,0,0
GRN,0,0,0,0,0,4094,0,0,0,0,0,0,0,0.527697119,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
GRP,0,0,0,0,435,0,0,0,0,0,0,0,0.895795036,0,0,0,0.01980198,0.004482524,0,0,0,0,0,0,0,0,0,0
GRPEL1,0,0,0,0,6778,0,0,0,0,0,0,0,0,0.171824081,0,0,0.04,0.004482524,0,0,0,0,0,0,0,0,0,0
GRPEL2,0,0,0,0,0,2310,0,0,0,0,0,0,0,0.292459009,0,0,0.015027322,0.004482524,0,0,0,0,0,0,0,0,0,0
