,Peng2014.Upregulated,Peng2014.Downregulated,Slabicki.2010.RNAi,Adamson.2012.RNAi,RAD51.foci.impaired,RAD51.foci.retained,Matsukoa.2007.phosphoproteomics,Elia_2015_Acetylation.IR,Elia_2015_Ub.IR,Elia_2015_Ub_MG132.IR,Elia_phos.IR,Elia_Ub_nuclear.IR,Paulsen.2009.gamma.HA2X.increased,Paulsen.2009.gamma.HA2X.decreased,Lord.2008.PARP.inhibitor.sensitivity,Bartz.2006.cisplatin.EC50.mean.fold.change,NPP.clade.optimized.MRS,HPA.tissue.coexpression.MRS,MRE11A.CCI.Malovannaya.2011,BRCA2.CCI.Malovannaya.2011,RAD51C.CCI.Malovannaya.2011,BRCA1.CCI.Malovannaya.2011,LIG1.CCI.Malovannaya.2011,PCNA.CCI.Malovannaya.2011,FANCD2.CCI.Malovannaya.2011,FANCI.CCI.Malovannaya.2011,PALB2.CCI.Malovannaya.2011,RAD50.CCI.Malovannaya.2011
ABCF1,0,0,0,0,0,945,2,8.867449997,9.138783885,4.958325505,7.079688973,8.525238277,0,0.334681234,0,0,0.032967033,0.051948052,0,0,0,0,0,0,0,0,0,0
ABCF2,0,0,0,0,0,2515,0,9.719501254,10.46523002,4.675317958,0,5.016634523,0,0.401030445,0,0,0.032967033,0.00921659,0,0,0,0,0,0,0,0,0,0
ABCF3,0,0,0,0,1756,0,0,0,8.635614586,4.453606328,0,8.005564172,0,0.370871713,0,0,0.032967033,0.007559395,0,0,0,0,0,0,0,0,0,0
ABCG1,0,0,0,0,0,7630,0,0,0,0,0,0,0,0.328649488,0,0,0.233333333,0.011363636,0,0,0,0,0,0,0,0,0,0
ABCG2,0,0,0,0,0,1929,0,8.852764247,8.964441684,4.569766499,0,7.983882092,0,0.575951091,0,0,0.233333333,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCG4,0,0,0,0,0,1294,0,0,0,0,0,0,0.015160058,0,0,0,0.233333333,0.010963525,0,0,0,0,0,0,0,0,0,0
ABCG5,0,0,0,0,0,3758,0,0,0,0,0,0,0.545953743,0,0,0,0.233333333,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,1618,0,0,0,0,0,0,0.738969629,0,0,0,0.233333333,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD1,0,0,0,0,0,8310,0,0,0,0,0,0,0,0.473411402,0,0,0.052631579,0.010963525,0,0,0,0,0,0,0,0,0,0
ABHD10,0,0,0,0,0,6455,0,0,0,0,0,0,0,0,0,0,0.016949153,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD11,0,0,0,0,0,2670,0,0,0,0,0,0,0,0,0,0,0.02739726,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD12,0,0,0,0,0,4231,0,0,0,0,0,0,0,0,0,0,0.011049724,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD12B,0,0,0,0,0,3656,0,0,0,0,0,0,0,0,0,0,0.014705882,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD13,0,0,0,0,0,1373,0,0,0,0,0,0,0,0,0,0,0.012561061,0.019047619,0,0,0,0,0,0,0,0,0,0
ABHD14A,0,0,0,0,0,7218,0,0,0,0,0,0,0,0,0,0,0.007580979,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD14A-ACY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016348774,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,0,0,0,0,4478,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD15,0,0,0,0,0,3862,0,0,0,0,0,0,0,0,0,0,0.052631579,0.008264463,0,0,0,0,0,0,0,0,0,0
ABHD16A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.012658228,0,0,0,0,0,0,0,0,0,0
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008474576,0.007194245,0,0,0,0,0,0,0,0,0,0
ABHD17A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010823812,0.005047319,0,0,0,0,0,0,0,0,0,0
ABHD17B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD17C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010823812,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006802721,0,0,0,0,0,0,0,0,0,0,0
ABHD2,0,0,0,0,3863,0,0,0,9.402135939,4.011080467,0,7.371702035,0,0.208014559,0,0,0.052631579,0.004482524,0,0,0,0,0,0,0,0,0,0
